All KEYS::
Value of State: 133, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 74,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 133, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 129, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 127, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 123, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 121, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 117, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 115, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 111, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 109, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 105, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 103, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 99, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 97, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 55, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 93, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 51, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 91, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 49, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 87, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 45, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 85, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 43, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 81, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 79, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 39, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 37, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 75, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 73, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 33, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 31, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 69, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 27, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 67, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 25, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 63, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 61, 68,  Action: 0, 0, 0,  is: 0.0
Value of State: 21, 70,  Action: 0, 0, 0,  is: 0.0
Value of State: 57, 68,  Action: 0, 0, 0,  is: 0.0
